region,useCard,dCard,income,education,age,age2,dPhone
1,0,0,0,0,56,3136,1
1,1,1,13,1,32,1024,1
1,0,0,13,1,50,2500,1
1,10,1,70,1,40,1600,1
1,30,1,0,1,53,2809,1
1,5,1,0,0,86,7396,1
1,1,1,12,1,61,3721,1
1,6,1,20,1,31,961,1
1,3,1,0,0,66,4356,1
1,20,1,0,1,68,4624,1
1,5,1,20,1,41,1681,1
1,3,1,23,1,61,3721,1
1,1,1,7.5,0,59,3481,1
1,1,1,0,0,62,3844,0
1,3,1,0,1,62,3844,1
1,1,1,16.5,0,24,576,1
1,1,1,19.5,0,45,2025,0
1,1,1,6,0,55,3025,1
1,4,1,NA,0,50,2500,1
1,4,1,NA,0,47,2209,1
1,0,0,4.766666667,0,26,676,1
1,0,0,20,0,38,1444,1
1,0,0,18,1,29,841,1
1,1,1,8,0,48,2304,1
1,7,1,5.2,1,28,784,1
1,2,1,10,0,51,2601,1
1,20,1,98,1,41,1681,1
1,1,1,20,1,43,1849,1
1,0,0,21.66666667,0,62,3844,0
1,1,1,12,1,30,900,1
1,2,1,12,0,33,1089,1
1,0,0,6.066666667,0,54,2916,0
1,0,0,13,0,45,2025,1
1,4,1,0,0,70,4900,1
1,0,0,0,0,45,2025,1
1,0,0,12,0,25,625,1
1,3,1,0.02,1,53,2809,1
1,10,1,15,1,25,625,1
1,2,1,50,0,54,2916,1
1,10,1,30,1,30,900,1
1,2,1,13,1,28,784,1
1,3,1,30,1,57,3249,1
1,0,0,15,1,42,1764,1
1,2,1,0,0,67,4489,1
1,1,1,30,1,56,3136,1
1,20,1,43.33333333,1,53,2809,1
1,8,1,40,1,41,1681,1
1,2,1,8.233333333,1,31,961,1
1,30,1,20,1,32,1024,1
1,30,1,6.5,0,28,784,1
1,2,1,5.633333333,1,42,1764,1
1,0,0,6.066666667,0,37,1369,1
1,3,1,24,1,54,2916,1
